"V1"	"V2"	"V3"	"V4"	"treatment"	"fdr"
0.793401828944134	0.205640266001232	0.55025862556646	1.11482515495956	"ACRYL"	0.366491297153927
0.724774254323831	0.523086806954018	0.306148021930973	1.47251554833978	"BAFF"	0.653858508692522
0.649068001735085	0.0292989156648109	0.42355711121273	0.958591272601633	"BPA"	0.0732472891620273
2.47897556465699	0.219894778292356	0.268845337605147	11.1723252004149	"ETOH"	0.366491297153927
0.832553508571702	0.833198476402897	0.262802128385098	2.02844666441812	"FSL1"	0.833198476402897
0.435615255485961	0.000258246890849364	0.250031708964105	0.710572615201575	"GARD"	0.00129123445424682
0.448450152290193	0.00160304443901375	0.24153004257798	0.767069039785855	"IFNG"	0.00534348146337918
NA	NA	NA	NA	"IGF"	NA
0.860869612594904	0.429867311296995	0.604961075738661	1.19645621909936	"PFOA"	0.614096158995707
0.588779428527216	1.85672672205868e-07	0.475235324310145	0.725054365857466	"DEX"	1.85672672205868e-06
0.604560364138069	0.770356864192499	0.0710377762101282	2.31387900277229	"TUNIC"	0.833198476402897
