"V1"	"V2"	"V3"	"V4"	"treatment"	"fdr"
0.999794952552021	1	0.531325050784426	1.74011885502587	"ACRYL"	1
1.54711252264327	0.387935264996497	0.489266541575103	3.75817486238582	"BAFF"	0.775870529992995
1.0432564302089	0.881643001757615	0.540247220734353	1.84983022802102	"BPA"	1
0	1	0	18.1004843560837	"ETOH"	1
0.558322188097179	1	0.0139016535308415	3.23427300561929	"FSL1"	1
4.80145046506419	3.54182462825577e-14	3.28133580237146	6.91369534369159	"GARD"	3.54182462825577e-13
3.22127964775349	1.77005737716221e-06	2.01388719828437	4.97713375352649	"IFNG"	5.90019125720738e-06
NA	NA	NA	NA	"IGF"	NA
1.07807362301448	0.777648348119859	0.58583641706545	1.84636519828298	"PFOA"	1
3.03697299326933	1.40722040507122e-12	2.21106418268098	4.18812699482432	"DEX"	7.0361020253561e-12
5.21438030363811	0.00400649300684595	1.60091703710625	13.2531371011466	"TUNIC"	0.0100162325171149
