"Gene","mean","sd"
"ENSG00000236810",1930,141
"ENSG00000057757",7754,793
"ENSG00000011009",6304,3195
"ENSG00000117308",3160,7368
"ENSG00000117305",9174,3848
"ENSG00000179163",7241,8817
"ENSG00000189266",9899,6217
"ENSG00000188529",10825,1390
"ENSG00000001460",717,4279
"ENSG00000001461",5798,4974
"ENSG00000133226",10481,2919
"ENSG00000169504",10913,10375
"ENSG00000117614",7722,2139
"ENSG00000117616",9686,10551
"ENSG00000183726",11114,6193
"ENSG00000238084",2473,4465
"ENSG00000204178",7705,4273
"ENSG00000157978",7828,4639
"ENSG00000117643",5716,10102
"ENSG00000162430",11262,5610
"ENSG00000228172",4656,2536
"ENSG00000255054",5971,4849
"ENSG00000272478",5462,8165
"ENSG00000117640",11846,9323
"ENSG00000127423",6130,8349
"ENSG00000182749",8885,10372
"ENSG00000117632",3047,11703
"ENSG00000158006",2820,6334
"ENSG00000175087",475,3422
"ENSG00000142684",1147,5192
"ENSG00000236782",1130,5169
"ENSG00000130695",1163,2910
"ENSG00000142669",9833,10094
"ENSG00000158062",7254,8013
"ENSG00000117682",6979,3863
"ENSG00000198830",10747,8342
"ENSG00000117676",6104,8803
"ENSG00000117713",10781,3225
"ENSG00000060642",4839,7179
"ENSG00000204160",3374,4899
"ENSG00000142751",7432,709
"ENSG00000198746",2937,1436
"ENSG00000090273",11496,9578
"ENSG00000090020",8297,8541
"ENSG00000225159",2715,7336
"ENSG00000142784",10625,2739
"ENSG00000186501",7490,3917
"ENSG00000142733",7131,9765
"ENSG00000158195",11330,2065
"ENSG00000126705",10751,9365
"ENSG00000000938",840,11251
"ENSG00000126709",10367,12026
"ENSG00000009780",965,1601
"ENSG00000117758",8461,3849
"ENSG00000117751",5484,108
"ENSG00000130775",2298,11681
"ENSG00000117748",5414,5884
"ENSG00000158156",1024,4328
"ENSG00000158161",4116,1802
"ENSG00000228589",6835,6480
"ENSG00000169403",154,9947
"ENSG00000126698",9110,88
"ENSG00000130770",9014,3964
"ENSG00000130766",2433,11494
"ENSG00000130772",1478,3765
"ENSG00000204138",7334,4327
