"Gene","mean","sd"
"ENSG00000133216",5715,9435
"ENSG00000004487",9996.5,136
"ENSG00000169641",6816,5943
"ENSG00000261326",3596,11013
"ENSG00000125944",10790,2244.5
"ENSG00000125945",4886,10328.5
"ENSG00000204219",9679,8915.5
"ENSG00000088280",9226,5027
"ENSG00000117318",11934,11904
"ENSG00000142676",12492,7985
"ENSG00000011007",9236.5,1171
"ENSG00000236810",2412,345.5
"ENSG00000057757",7466,444
"ENSG00000011009",6531,5893
"ENSG00000117308",1234.5,5520
"ENSG00000117305",9373.5,4239
"ENSG00000179163",10039,6280
"ENSG00000189266",11595,6037.5
"ENSG00000188529",10833,6306
"ENSG00000001460",1918,1425
"ENSG00000001461",10517,6635
"ENSG00000117602",7876,7909
"ENSG00000133226",10378,5886
"ENSG00000169504",8873,10593.5
"ENSG00000020633",35.5,12076
"ENSG00000117614",9698.5,3860.5
"ENSG00000117616",9597.5,11075
"ENSG00000183726",10325,1204
"ENSG00000238084",1239,4045.5
"ENSG00000204178",6960.5,411
"ENSG00000157978",8663.5,6749
"ENSG00000117643",10509.5,10790
"ENSG00000162430",11548,3774
"ENSG00000228172",3681,157
"ENSG00000255054",1991,5456
"ENSG00000272478",1567,395
"ENSG00000117640",10867,2302.5
"ENSG00000127423",1943.5,410
"ENSG00000182749",2872.5,3555
"ENSG00000117632",5781,10710.5
"ENSG00000158006",5654.5,2300
"ENSG00000175087",4062,8665
"ENSG00000142684",3476.5,9742
"ENSG00000236782",3507,9680
"ENSG00000130695",3427.5,7613
"ENSG00000142669",9878,10695
"ENSG00000158062",10641.5,9175
"ENSG00000169442",141,12350
"ENSG00000117682",6438,1379
"ENSG00000198830",12087,5174
"ENSG00000117676",10056.5,7974.5
"ENSG00000117713",10963,4297
"ENSG00000060642",4982,4489
"ENSG00000204160",8557.5,8322
"ENSG00000142751",6092,519
"ENSG00000198746",2408.5,2451
"ENSG00000090273",11017,5561
"ENSG00000090020",7273.5,4027
"ENSG00000225159",1324,6298
"ENSG00000142784",10827,1771.5
"ENSG00000186501",8376,3175.5
"ENSG00000142765",4885,11702.5
"ENSG00000142733",8062,11148
"ENSG00000158195",11818,3520.5
"ENSG00000126705",9018,10436
"ENSG00000000938",179,11801.5
"ENSG00000126709",9213,12266
"ENSG00000009780",3472,5060
"ENSG00000117758",11573.5,11690
"ENSG00000117751",5506.5,381.5
"ENSG00000130775",5020,11773
"ENSG00000117748",8006,5756
"ENSG00000158156",1700,3930
"ENSG00000158161",5789.5,2972.5
"ENSG00000228589",9254.5,5786
"ENSG00000126698",10198,552
"ENSG00000130770",11458,8271
"ENSG00000130766",1065.5,10245
"ENSG00000130772",771.5,4164
"ENSG00000204138",7487.5,2328.5
"ENSG00000242125",5895.5,9966
"ENSG00000180198",4602,7599
"ENSG00000180098",2123,1585
"ENSG00000197989",1760,10145
"ENSG00000120656",2976,965
"ENSG00000162419",2445.5,1244
"ENSG00000198492",8990,1195
"ENSG00000159023",7974,7469
"ENSG00000253304",1589,7845
"ENSG00000116350",10984,2509
"ENSG00000116353",3182.5,454.5
"ENSG00000060656",5477,10042
"ENSG00000162511",8197,12333
"ENSG00000162512",8547,9811.5
"ENSG00000134644",10612.5,3226
"ENSG00000060688",4399.5,577
"ENSG00000121766",6025,371
"ENSG00000168528",8348,11170
"ENSG00000142910",10624.5,11004
"ENSG00000162517",11752.5,7190.5
"ENSG00000084636",10156,9937
"ENSG00000184007",11981,4662.5
"ENSG00000121774",11354,986
"ENSG00000121775",3347,824
"ENSG00000250135",594,277
"ENSG00000025800",10123,634
"ENSG00000084652",10877.5,1620.5
"ENSG00000160055",6439,7806
"ENSG00000084623",11591,3384.5
"ENSG00000220785",2265,9974.5
"ENSG00000116478",11678,2721
"ENSG00000175130",11542,9998.5
"ENSG00000160058",10821,612
"ENSG00000160062",3360,4454
"ENSG00000176261",3686,2464.5
"ENSG00000162521",11476.5,724
"ENSG00000162520",4493.5,3811
"ENSG00000162522",11749,7960
"ENSG00000134684",9129,8222
"ENSG00000116497",4953,4936
"ENSG00000121900",6925,9734.5
"ENSG00000116514",4010,9313.5
"ENSG00000004455",11303.5,785
"ENSG00000116525",511,535.5
"ENSG00000160094",6577,4495
"ENSG00000134686",11554,7482
"ENSG00000187513",5484,11092
"ENSG00000163866",4726,6689.5
"ENSG00000241014",278,3741.5
"ENSG00000243749",5340,2439.5
"ENSG00000271741",6415.5,85
"ENSG00000163867",4496,2947.5
"ENSG00000197056",940,7570
"ENSG00000116560",12045,9496
"ENSG00000229994",4937,8470
"ENSG00000146463",8019,3128.5
"ENSG00000142687",10956.5,332
"ENSG00000020129",7425,5524
"ENSG00000126067",9495,3973
"ENSG00000142686",1920,5461.5
"ENSG00000134698",4211,3316
"ENSG00000092847",7809,3161
"ENSG00000126070",4903,5704
"ENSG00000116863",6454,4133.5
"ENSG00000171812",6627,11355
"ENSG00000054116",10900,5537.5
"ENSG00000116871",11110,10964
"ENSG00000054118",11735,2886
"ENSG00000142694",4128,11330
"ENSG00000214193",8342.5,10780
"ENSG00000196182",9698.5,8914
"ENSG00000181817",3673.5,8182
"ENSG00000116898",8109,6511.5
"ENSG00000163874",264,11885
"ENSG00000163875",7544,289
"ENSG00000163877",2406,766
"ENSG00000163879",6919,8812.5
"ENSG00000134697",6689,4433
"ENSG00000116922",1786,1340
"ENSG00000196449",1184,4209
"ENSG00000197982",5859.5,10524
"ENSG00000188786",2964,2725
"ENSG00000204084",5113,3942.5
"ENSG00000183431",8737,413
"ENSG00000183386",568,9158
"ENSG00000183520",3192,1798
"ENSG00000116954",6057,5437
"ENSG00000214114",4075.5,3003.5
"ENSG00000273637",2483,1673
"ENSG00000174574",6840,8607
"ENSG00000168653",10430,10185
"ENSG00000127603",12011.5,8272.5
"ENSG00000182109",5764,11403
"ENSG00000228060",139,2223
"ENSG00000090621",11047,3773
"ENSG00000163909",4339,11590
"ENSG00000084072",7357,6336
"ENSG00000043514",4131,2874
"ENSG00000168389",73.5,12507
"ENSG00000131236",11851,3847
"ENSG00000131238",10552,3957
"ENSG00000117000",4100,8700
"ENSG00000259943",1654.5,4137.5
"ENSG00000084073",6547,4340
"ENSG00000084070",5193,11580
"ENSG00000066136",9576.5,2055
"ENSG00000179862",650,10210
"ENSG00000171793",864,10000
"ENSG00000010803",9178,1173
"ENSG00000127124",3234,6103
"ENSG00000198815",8190,2698
"ENSG00000127125",8482.5,3684
"ENSG00000171960",2754,3710
"ENSG00000065978",11961.5,4397
"ENSG00000117385",4677,4222.5
"ENSG00000164008",728,1147
"ENSG00000283580",701,1167.5
"ENSG00000177868",2258.5,3303
"ENSG00000164010",5149,6273
"ENSG00000164011",3688,5755
"ENSG00000117394",3592,8659.5
"ENSG00000117395",8144.5,3162
"ENSG00000066056",8453,9520
"ENSG00000066322",10011,4864
"ENSG00000159479",7166,1333
"ENSG00000178922",9359,8105
"ENSG00000198198",11565.5,2340
"ENSG00000142949",11723.5,9298
"ENSG00000066135",7855,2402.5
"ENSG00000236200",980.5,506
"ENSG00000126091",2583,1131.5
"ENSG00000117408",8720.5,3480
"ENSG00000132768",2587.5,4366
"ENSG00000117410",10657,8108
"ENSG00000117411",4135,9177
"ENSG00000196517",1669,8558.5
"ENSG00000178028",9749,6217.5
"ENSG00000117419",7808,2003.5
"ENSG00000187147",9422.5,1677
"ENSG00000126106",3412.5,758
"ENSG00000142937",12458,8776
"ENSG00000173846",1599,11713.5
"ENSG00000222009",1207,10603
"ENSG00000070785",3198,3642
"ENSG00000126107",9323,1753
"ENSG00000126088",10351,3814
"ENSG00000132781",4016,3531
"ENSG00000132773",3058,3125
"ENSG00000070759",543.5,2042
"ENSG00000132763",11964.5,11040
"ENSG00000117450",12475,10725.5
"ENSG00000117448",11063,7075
"ENSG00000132780",10246,6917
"ENSG00000159592",11394,469.5
